Gridcode,bio4,bio10,bio11,bio15,bio16,bio17,forest,grassland,farmland,urban,barren
100040198,1622.01 ,18.90 ,-22.50 ,92.11 ,313.61 ,19.50 ,0.564516,0.345161,0.087097,0,0
100040199,1612.36 ,19.04 ,-22.11 ,92.50 ,313.00 ,18.93 ,0.231405,0.143251,0.625344,0,0
100040200,1604.80 ,18.93 ,-22.03 ,92.60 ,317.00 ,18.73 ,0.182635,0.023952,0.790419,0,0
100050194,1637.88 ,18.55 ,-23.34 ,93.19 ,311.38 ,21.13 ,0.827586,0.124138,0.048276,0,0
100050195,1644.41 ,18.46 ,-23.58 ,92.75 ,318.44 ,21.63 ,0.502513,0.472362,0.022613,0,0
100050196,1641.44 ,18.60 ,-23.35 ,92.81 ,319.00 ,20.69 ,0.35,0.4875,0.1625,0,0
100050197,1631.96 ,18.59 ,-23.11 ,92.81 ,320.75 ,20.06 ,0.245,0.5575,0.1975,0,0
100050198,1623.17 ,18.88 ,-22.58 ,93.05 ,317.85 ,19.50 ,0.205,0.15,0.645,0,0
100050199,1612.74 ,18.81 ,-22.36 ,93.44 ,320.69 ,19.38 ,0.315,0.235,0.45,0,0
100050200,1606.70 ,19.00 ,-22.03 ,93.44 ,319.63 ,18.81 ,0.2525,0.0425,0.705,0,0
100050201,1602.59 ,18.74 ,-22.17 ,93.00 ,327.31 ,20.31 ,0.2375,0.06,0.7025,0,0
100050202,1604.01 ,19.12 ,-21.86 ,92.88 ,325.56 ,20.44 ,0.135501,0.01897,0.842818,0,0
100050203,1606.69 ,19.37 ,-21.71 ,92.64 ,327.29 ,20.50 ,0.205882,0.011029,0.772059,0,0
100050204,1611.63 ,19.40 ,-21.84 ,92.00 ,332.60 ,21.00 ,0.186722,0.041494,0.763485,0.008299,0
100050205,1615.30 ,19.37 ,-21.94 ,91.07 ,337.00 ,22.67 ,0.237705,0.010929,0.737705,0.005464,0
100050206,1619.86 ,19.56 ,-21.90 ,90.91 ,338.36 ,23.55 ,0.041322,0.012397,0.942149,0,0
100060191,1598.39 ,18.00 ,-22.89 ,96.50 ,313.38 ,21.00 ,0.987395,0.012605,0,0,0
100060192,1610.32 ,18.26 ,-22.95 ,95.50 ,310.93 ,21.07 ,0.974576,0.025424,0,0,0
100060193,1616.64 ,17.84 ,-23.53 ,94.56 ,320.31 ,21.94 ,0.98,0.0075,0.0125,0,0
100060194,1626.02 ,17.68 ,-23.90 ,93.95 ,328.20 ,22.45 ,0.8725,0.095,0.0325,0,0
100060195,1634.54 ,17.99 ,-23.80 ,93.44 ,328.31 ,22.50 ,0.4775,0.3725,0.15,0,0
100060196,1636.68 ,18.46 ,-23.40 ,93.81 ,324.69 ,20.63 ,0.4775,0.45,0.0725,0,0
100060197,1627.96 ,18.31 ,-23.28 ,93.88 ,328.38 ,20.19 ,0.4225,0.4575,0.12,0,0
100060198,1620.73 ,18.54 ,-22.83 ,94.00 ,326.55 ,19.85 ,0.38,0.35,0.27,0,0
100060199,1612.91 ,18.64 ,-22.55 ,93.94 ,327.50 ,19.75 ,0.6225,0.135,0.2425,0,0
100060200,1604.64 ,18.23 ,-22.73 ,93.13 ,336.25 ,21.31 ,0.67,0.0875,0.2425,0,0
100060201,1603.30 ,18.72 ,-22.23 ,93.06 ,331.56 ,21.75 ,0.2075,0.055,0.7375,0,0
100060202,1602.56 ,18.84 ,-22.09 ,92.88 ,332.56 ,21.50 ,0.26,0.045,0.695,0,0
100060203,1604.69 ,18.96 ,-22.04 ,92.90 ,335.20 ,21.90 ,0.105,0.0125,0.8825,0,0
100060204,1608.11 ,19.04 ,-22.08 ,92.31 ,339.38 ,22.00 ,0.2625,0,0.7375,0,0
100060205,1612.70 ,19.24 ,-22.02 ,91.25 ,339.56 ,23.25 ,0.0675,0,0.9325,0,0
100060206,1616.86 ,19.35 ,-22.02 ,90.88 ,341.50 ,24.56 ,0.0475,0.005,0.9375,0.01,0
100060207,1622.85 ,19.76 ,-21.80 ,89.69 ,338.00 ,25.94 ,0.041801,0,0.951768,0.003215,0
100070190,1584.08 ,17.54 ,-23.03 ,97.31 ,321.38 ,21.63 ,0.981627,0,0.018373,0,0
