Gridcode,bio4,bio10,bio11,bio15,bio16,bio17,forest,grassland,farmland,urban,barren
100040198,1697.24 ,21.84 ,-21.37 ,92.00 ,314.61 ,17.78 ,0.564516,0.345161,0.087097,0,0
100040199,1687.71 ,21.96 ,-20.98 ,91.93 ,313.00 ,16.93 ,0.231405,0.143251,0.625344,0,0
100040200,1681.11 ,21.90 ,-20.86 ,91.33 ,316.13 ,17.00 ,0.182635,0.023952,0.790419,0,0
100050194,1710.65 ,21.44 ,-22.17 ,93.75 ,318.00 ,19.25 ,0.827586,0.124138,0.048276,0,0
100050195,1717.84 ,21.36 ,-22.40 ,93.31 ,324.06 ,19.50 ,0.502513,0.472362,0.022613,0,0
100050196,1715.42 ,21.51 ,-22.19 ,93.25 ,323.13 ,18.81 ,0.35,0.4875,0.1625,0,0
100050197,1706.91 ,21.50 ,-21.98 ,92.94 ,323.63 ,18.81 ,0.245,0.5575,0.1975,0,0
100050198,1697.96 ,21.79 ,-21.42 ,92.70 ,319.75 ,17.80 ,0.205,0.15,0.645,0,0
100050199,1687.45 ,21.74 ,-21.20 ,92.63 ,321.88 ,17.81 ,0.315,0.235,0.45,0,0
100050200,1682.48 ,21.95 ,-20.86 ,92.44 ,320.00 ,17.19 ,0.2525,0.0425,0.705,0,0
100050201,1678.49 ,21.71 ,-21.03 ,91.56 ,327.63 ,19.31 ,0.2375,0.06,0.7025,0,0
100050202,1680.58 ,22.13 ,-20.66 ,91.25 ,325.69 ,19.75 ,0.135501,0.01897,0.842818,0,0
100050203,1683.89 ,22.37 ,-20.55 ,91.00 ,327.50 ,19.93 ,0.205882,0.011029,0.772059,0,0
100050204,1688.87 ,22.43 ,-20.65 ,90.10 ,332.30 ,20.20 ,0.186722,0.041494,0.763485,0.008299,0
100050205,1692.77 ,22.45 ,-20.75 ,89.80 ,336.53 ,21.73 ,0.237705,0.010929,0.737705,0.005464,0
100050206,1697.01 ,22.66 ,-20.70 ,89.18 ,337.27 ,22.00 ,0.041322,0.012397,0.942149,0,0
100060191,1667.66 ,20.86 ,-21.69 ,96.75 ,322.25 ,19.63 ,0.987395,0.012605,0,0,0
100060192,1682.24 ,21.15 ,-21.76 ,96.00 ,318.50 ,19.43 ,0.974576,0.025424,0,0,0
